date,pm25,pm10,o3,no2,so2,co,AQI
2013-12-31,54,58,10,5,2,2,146
2014-01-01,54,58,10,5,2,1,146
2014-01-02,54,58,10,5,2,3,146
2014-01-03,54,66,10,5,2,6,146
2014-01-04,54,65,10,5,2,3,146
2014-01-05,54,48,10,5,2,6,146
2014-01-06,54,51,10,5,2,2,146
2014-01-07,54,61,10,5,2,3,146
2014-01-08,54,56,10,5,2,4,146
2014-01-09,54,66,10,5,2,5,146
2014-01-10,54,65,10,5,3,5,146
2014-01-11,54,75,10,5,3,5,146
2014-01-16,54,75,10,5,2,5,146
2014-01-17,54,67,10,5,2,5,146
2014-01-18,54,71,10,5,2,1,146
2014-01-19,54,56,10,5,2,1,146
2014-01-20,54,61,10,5,2,1,146
2014-01-21,54,66,10,5,2,1,146
2014-01-22,54,64,10,5,2,2,146
2014-01-23,54,56,10,5,3,2,146
2014-01-24,54,50,10,5,3,2,146
2014-01-25,54,50,10,5,2,2,146
2014-01-26,54,61,10,5,2,2,146
2014-01-27,54,61,10,5,2,11,146
2014-01-28,54,64,10,5,2,1,146
2014-01-29,54,51,10,5,2,1,146
2014-01-30,54,52,10,5,2,3,146
2014-01-31,54,70,10,5,2,1,146
2014-02-01,54,58,10,5,2,1,146
2014-02-02,54,61,10,5,3,3,146
2014-02-03,54,71,10,6,3,6,146
2014-02-04,54,61,10,5,4,8,146
2014-02-05,54,77,10,5,4,10,146
2014-02-06,54,64,10,5,3,8,146
2014-02-07,54,64,10,5,3,8,146
2014-02-09,54,64,10,5,5,9,146
2014-02-10,54,73,10,5,4,3,146
2014-02-11,54,62,10,5,4,3,146
2014-02-12,54,64,10,5,8,5,146
2014-02-13,54,67,10,6,5,5,146
2014-02-14,54,75,10,6,2,5,146
2014-02-15,54,83,10,6,2,5,146
2014-02-16,54,83,10,6,4,9,146
2014-02-17,54,44,10,6,3,5,146
2014-02-18,54,64,10,6,2,5,146
2014-02-19,54,63,10,6,2,2,146
2014-02-20,54,65,10,6,3,4,146
2014-02-21,54,73,10,6,3,4,146
2014-02-23,54,73,10,6,4,6,146
2014-02-24,54,64,10,6,3,7,146
2014-02-25,54,459,10,6,4,11,343
2014-02-26,54,49,10,6,4,11,146
2014-02-27,54,49,10,6,17,1,146
2014-02-28,54,46,10,6,17,1,146
2014-03-01,54,46,10,6,3,1,146
2014-03-02,54,35,10,6,3,1,146
2014-03-13,54,35,10,6,116,1,146
2014-03-14,54,426,10,6,116,1,302
2014-03-23,54,426,10,6,3,8,302
2014-03-24,54,68,10,6,3,5,146
2014-03-25,54,85,10,6,2,5,146
2014-03-26,54,86,10,6,2,5,146
2014-03-27,54,78,10,6,3,3,146
2014-03-28,54,86,10,6,5,18,146
2014-03-29,54,68,10,6,5,18,146
2014-04-01,54,68,10,6,8,18,146
2014-04-02,54,68,10,5,6,43,146
2014-04-03,54,14,10,5,6,43,146
2014-04-04,54,14,10,5,3,43,146
2014-04-05,54,6,10,5,3,43,146
2014-04-06,54,6,10,5,3,10,146
2014-04-07,54,21,10,5,1,4,146
2014-04-08,54,17,10,5,2,3,146
2014-04-09,54,12,10,5,2,3,146
2014-04-10,54,12,10,6,2,3,146
2014-04-11,54,10,10,6,2,7,146
2014-04-12,54,27,10,6,2,7,146
2014-04-14,54,27,10,6,2,3,146
2014-04-15,54,5,10,6,2,6,146
2014-04-16,54,10,10,6,2,2,146
2014-04-17,54,9,10,6,5,5,146
2014-04-18,54,5,10,6,5,3,146
2014-04-19,54,4,10,6,2,5,146
2014-04-20,54,11,10,6,3,5,146
2014-04-21,54,11,10,6,3,2,146
2014-04-22,54,7,10,6,3,3,146
2014-04-23,54,4,10,6,2,4,146
2014-04-24,54,4,10,6,2,2,146
2014-04-25,54,4,10,6,2,3,146
2014-04-26,54,5,10,6,2,4,146
2014-04-27,54,4,10,6,2,3,146
2014-04-28,54,6,10,6,2,3,146
2014-05-06,54,6,10,6,2,4,146
2014-05-07,54,4,10,6,2,4,146
2014-05-18,54,4,10,6,2,3,146
2014-05-19,54,4,10,6,2,3,146
2014-05-20,54,4,10,6,2,2,146
2014-05-21,54,4,10,6,2,2,146
2014-05-24,54,4,10,6,2,2,146
2014-05-25,54,4,10,10,2,2,146
2014-05-26,54,4,10,10,2,7,146
2014-05-27,54,4,10,10,2,7,146
2014-05-31,54,4,10,10,2,6,146
2014-06-01,54,4,10,17,2,6,146
2014-06-03,54,4,10,17,2,5,146
2014-06-04,54,4,10,14,2,6,146
2014-06-05,54,4,10,14,1,2,146
2014-06-06,54,4,10,14,2,3,146
2014-06-07,54,21,10,14,2,2,146
2014-06-08,54,21,10,14,2,5,146
2014-06-09,54,21,10,14,2,5,146
2014-06-10,54,21,10,14,7,5,146
2014-06-11,54,21,10,14,7,2,146
2014-06-12,54,14,10,14,2,1,146
2014-06-13,54,14,10,18,1,6,146
2014-06-14,54,14,10,14,2,5,146
2014-06-15,54,2,10,14,1,4,146
2014-06-16,54,8,10,14,5,3,146
2014-06-17,54,9,10,15,2,3,146
2014-06-18,54,9,10,14,2,5,146
2014-06-19,54,9,10,14,2,2,146
2014-06-20,54,9,10,14,4,3,146
2014-06-21,54,9,10,14,4,3,146
2014-06-22,54,9,10,14,1,8,146
2014-06-23,54,9,10,14,1,6,146
2014-06-24,54,9,10,14,4,5,146
2014-06-25,54,9,10,14,4,5,146
2014-06-26,54,9,10,14,4,3,146
