date,pm25,pm10,o3,no2,so2,co,AQI
2017-11-12,128,67,28,9,11,6,188
2017-11-13,128,86,18,12,21,7,188
2017-11-14,139,70,21,7,11,5,194
2017-11-15,128,57,18,6,9,5,188
2017-11-16,110,55,15,8,14,5,179
2017-11-17,104,49,19,8,11,5,176
2017-11-18,76,57,22,8,10,5,161
2017-11-19,94,62,25,8,8,6,170
2017-11-20,106,65,25,10,7,6,177
2017-11-21,109,56,30,7,6,6,178
2017-11-22,100,53,22,6,5,5,173
2017-11-23,98,81,29,8,7,6,172
2017-11-24,153,83,35,9,9,5,203
2017-11-25,152,90,31,11,8,7,202
2017-11-26,154,92,31,13,8,8,204
2017-11-27,151,90,52,13,13,7,201
2017-11-28,148,80,67,11,7,6,198
2017-11-29,147,81,64,11,8,6,198
2017-11-30,146,85,54,10,9,7,197
2017-12-01,154,80,35,9,8,5,204
2017-12-02,154,88,30,13,6,7,204
2017-12-03,150,78,53,9,5,6,199
2017-12-04,154,70,35,6,6,5,204
2017-12-05,137,59,29,6,5,5,193
2017-12-06,119,83,29,10,11,7,183
2017-12-07,149,98,31,11,14,6,199
2017-12-08,154,98,30,12,15,6,204
2017-12-09,148,72,25,10,11,5,198
2017-12-10,122,74,26,11,10,5,185
2017-12-11,126,90,37,17,7,9,187
2017-12-12,144,90,36,14,5,9,196
2017-12-13,151,81,32,11,6,7,201
2017-12-14,148,81,30,9,6,6,198
2017-12-15,149,89,33,12,6,8,199
2017-12-16,149,91,35,13,8,9,199
2017-12-17,151,98,36,13,17,6,201
2017-12-18,158,94,32,16,21,6,208
2017-12-19,134,99,36,17,12,10,191
2017-12-20,144,97,40,18,11,10,196
2017-12-21,156,97,35,17,11,11,206
2017-12-22,155,107,44,16,11,10,205
2017-12-23,162,100,39,14,8,9,212
2017-12-24,160,93,27,13,6,8,210
2017-12-25,154,89,59,13,18,6,204
2017-12-26,152,84,39,13,8,6,202
2017-12-27,137,91,46,15,7,8,193
2017-12-28,142,99,58,16,6,10,195
2017-12-29,154,90,34,16,6,8,204
2017-12-30,140,81,22,13,5,9,194
2017-12-31,136,74,37,8,7,6,192
2018-01-01,126,87,39,11,7,6,187
2018-01-02,150,91,31,11,7,6,199
2018-01-03,159,103,38,10,10,7,209
2018-01-04,157,91,56,11,10,6,207
2018-01-05,157,98,34,15,8,9,207
2018-01-06,157,93,35,12,6,7,207
2018-01-07,156,91,38,11,6,7,206
2018-01-08,154,101,79,14,7,7,204
2018-01-09,161,100,54,12,7,7,211
2018-01-10,156,103,65,14,9,8,206
2018-01-11,157,101,31,19,10,7,207
2018-01-12,153,103,33,16,11,8,203
2018-01-13,153,98,31,13,7,9,203
2018-01-14,153,78,22,6,6,6,203
2018-01-15,146,79,21,8,5,6,197
2018-01-16,140,86,22,9,7,6,194
2018-01-17,140,99,41,12,8,7,194
2018-01-18,144,93,21,13,11,7,196
2018-01-19,135,98,26,15,14,7,192
2018-01-20,141,95,29,13,9,6,195
2018-01-21,146,96,34,12,8,7,197
2018-01-22,158,74,21,8,5,5,208
2018-01-23,136,83,21,8,6,5,192
2018-01-24,149,93,24,9,7,6,199
2018-01-25,147,96,32,11,11,6,198
2018-01-26,146,101,37,15,9,6,197
2018-01-27,151,98,32,12,7,6,201
2018-01-28,154,92,32,10,7,5,204
2018-01-29,148,93,35,13,11,5,198
2018-01-30,134,96,26,15,10,6,191
2018-01-31,128,86,48,14,13,5,188
2018-02-01,117,81,43,13,10,5,182
2018-02-02,112,82,47,14,6,5,180
2018-02-03,109,71,38,8,7,4,178
2018-02-04,94,74,41,9,7,4,170
2018-02-05,103,89,31,14,8,6,175
2018-02-06,126,89,50,17,7,7,187
2018-02-07,131,62,20,11,5,4,189
2018-02-08,97,74,30,10,7,5,172
2018-02-09,106,83,26,11,12,5,177
2018-02-10,118,63,24,6,11,3,183
2018-02-11,99,63,20,4,8,3,173
2018-02-12,121,65,44,44,8,3,184
2018-02-13,117,72,49,44,8,4,182
2018-02-14,124,79,60,8,10,4,186
2018-02-15,126,80,43,9,9,5,187
2018-02-16,124,78,29,13,8,5,186
2018-02-17,116,88,38,14,5,7,182
2018-02-18,135,70,37,8,4,4,192
2018-02-19,111,71,35,7,4,4,179
2018-02-20,120,77,40,8,4,4,184
2018-02-21,130,88,34,9,8,5,189
2018-02-22,142,85,37,11,5,6,195
2018-02-23,133,78,35,9,7,3,191
2018-02-24,102,78,28,12,6,5,175
2018-02-25,104,85,40,13,5,5,176
2018-02-26,125,92,52,14,8,6,186
2018-02-27,129,93,34,18,6,8,188
2018-02-28,142,90,34,14,5,7,195
2018-03-01,128,96,34,12,5,6,188
2018-03-02,125,92,39,9,6,5,186
2018-03-03,113,83,34,9,5,5,180
2018-03-04,125,77,32,7,5,4,186
2018-03-05,113,74,34,8,6,4,180
2018-03-06,116,67,65,6,5,4,182
2018-03-07,150,67,65,6,5,4,199
2018-03-09,150,104,28,12,6,5,199
2018-03-10,161,76,32,7,5,4,211
2018-03-11,133,66,31,7,3,4,191
2018-03-12,102,64,31,7,3,4,175
2018-03-13,99,74,39,9,5,5,173
2018-03-14,122,63,27,5,5,4,185
2018-03-15,118,94,32,10,11,6,183
2018-03-16,152,60,29,6,6,3,202
2018-03-17,129,54,30,6,5,4,188
2018-03-18,106,64,38,8,4,4,177
2018-03-19,115,74,30,9,5,5,181
2018-03-20,134,77,16,8,6,4,191
2018-03-21,141,75,24,7,8,5,195
2018-03-22,96,93,29,12,8,7,171
2018-03-23,134,96,29,16,9,8,191
2018-03-24,135,100,40,13,9,8,192
2018-03-25,158,86,34,8,7,6,208
2018-03-26,149,81,32,8,7,5,199
2018-03-27,141,74,33,7,6,5,195
2018-03-28,132,88,35,11,5,7,190
2018-03-29,142,78,29,7,4,5,195
2018-03-30,136,79,35,6,6,5,192
2018-03-31,130,68,30,6,6,4,189
2018-04-01,118,59,35,6,4,3,183
2018-04-02,102,71,36,10,5,5,175
2018-04-03,130,63,37,4,4,4,189
2018-04-04,115,64,31,6,4,4,181
2018-04-05,111,73,34,8,5,4,179
2018-04-06,124,46,29,10,7,4,186
2018-04-07,77,50,30,8,5,4,162
2018-04-08,91,65,34,10,5,5,169
2018-04-09,109,64,38,9,5,4,178
2018-04-10,94,57,21,8,5,4,170
2018-04-11,85,58,17,13,8,4,166
2018-04-12,86,53,29,7,5,4,166
2018-04-13,78,45,32,4,4,3,162
2018-04-14,69,48,22,4,3,4,157
2018-04-15,84,76,39,9,7,6,165
2018-04-16,131,68,35,9,4,5,189
2018-04-17,100,57,25,5,7,3,173
2018-04-18,84,81,24,9,8,5,165
2018-04-19,109,110,1,21,9,10,178
2018-04-20,152,110,1,21,9,10,202
2018-11-29,152,86,18,9,28,6,202
2018-11-30,150,99,17,15,5,5,199
2018-12-01,157,97,20,15,14,5,207
2018-12-02,159,95,21,12,5,5,209
2018-12-03,161,98,18,11,4,5,211
2018-12-04,162,80,9,6,1,4,212
2018-12-05,155,91,8,11,2,6,205
2018-12-06,152,67,14,5,7,4,202
2018-12-07,137,85,18,6,10,5,193
2018-12-08,161,88,17,5,11,5,211
2018-12-09,162,84,12,3,3,3,212
2018-12-10,160,95,15,6,13,4,210
2018-12-11,162,95,15,6,13,4,212
2018-12-14,162,91,17,12,15,5,212
2018-12-15,157,98,19,10,13,4,207
2018-12-16,162,64,12,6,6,3,212
2018-12-17,134,24,6,4,4,3,191
2018-12-18,56,45,10,7,5,3,151
2018-12-19,80,67,12,11,7,4,163
2018-12-20,111,74,16,10,6,3,179
2018-12-21,130,94,21,12,5,4,189
2018-12-22,160,89,21,10,5,4,210
2018-12-23,162,96,18,12,5,5,212
2018-12-24,159,99,23,11,4,4,209
2018-12-25,159,77,15,7,3,5,209
2018-12-26,147,87,15,9,5,4,198
2018-12-27,148,91,16,12,6,5,198
2018-12-28,142,94,18,12,11,4,195
2018-12-29,146,100,23,13,11,5,197
2018-12-30,160,100,23,13,11,5,210
2018-12-31,160,95,20,17,9,6,210
2019-01-01,146,106,24,20,6,8,197
2019-01-02,157,91,16,17,5,6,207
2019-01-03,141,101,23,16,6,7,195
2019-01-04,161,96,21,13,4,6,211
2019-01-05,155,102,23,10,4,5,205
2019-01-06,162,101,20,11,5,5,212
2019-01-07,162,103,16,15,7,6,212
2019-01-08,154,103,18,18,7,8,204
2019-01-09,156,112,21,17,7,7,206
2019-01-10,162,98,20,10,3,5,212
2019-01-11,160,97,22,9,3,5,210
2019-01-12,161,82,20,8,2,4,211
2019-01-13,155,92,21,9,3,5,205
2019-01-14,159,98,18,11,5,6,209
2019-01-15,160,97,18,10,7,5,210
2019-01-16,158,99,17,13,5,5,208
2019-01-17,151,103,18,13,4,6,201
2019-01-18,156,104,20,13,5,5,206
2019-01-19,162,100,18,14,5,6,212
2019-01-20,150,92,19,11,3,5,199
2019-01-21,144,67,12,6,4,3,196
2019-01-22,112,73,13,7,3,4,180
2019-01-23,139,80,14,10,3,4,194
2019-01-24,137,57,11,5,3,3,193
2019-01-25,87,47,9,4,3,4,167
2019-01-26,85,56,3,7,4,4,166
2019-01-27,131,74,7,9,7,5,189
2019-01-28,154,78,13,10,6,4,204
2019-01-29,142,87,15,13,8,4,195
2019-01-30,136,84,19,12,4,5,192
2019-01-31,141,81,18,10,4,5,195
2019-02-01,147,79,18,10,4,4,198
2019-02-02,139,73,19,9,3,4,194
2019-02-03,140,80,20,10,4,5,194
2019-02-04,147,82,20,10,4,5,198
2019-02-05,145,91,20,11,4,6,197
2019-02-06,149,73,16,5,4,3,199
2019-02-07,139,83,12,8,4,4,194
2019-02-08,120,98,14,8,5,4,184
2019-02-09,124,109,20,13,13,4,186
2019-02-10,148,83,16,7,3,4,198
2019-02-11,139,86,18,8,3,4,194
2019-02-12,148,93,19,12,3,5,198
2019-02-13,143,86,15,12,2,5,196
2019-02-14,136,57,10,5,1,3,192
2019-02-15,82,70,14,7,2,5,164
2019-02-16,106,69,13,7,3,4,177
2019-02-17,103,98,19,12,5,6,175
2019-02-18,153,78,16,7,3,3,203
2019-02-19,132,62,12,5,2,3,190
2019-02-20,87,67,16,6,2,3,167
2019-02-21,95,79,18,8,3,3,171
2019-02-22,110,91,14,13,3,6,179
2019-02-23,135,71,14,6,2,4,192
2019-02-24,135,77,15,6,4,4,192
2019-02-25,130,91,13,10,4,4,189
2019-02-26,134,94,13,10,5,6,191
2019-02-27,143,87,14,7,4,3,196
2019-02-28,122,90,15,9,4,4,185
2019-03-01,89,58,11,4,1,3,168
2019-03-02,83,53,11,3,1,3,165
2019-03-03,93,70,16,5,2,3,170
2019-03-04,93,107,11,9,4,6,170
2019-03-05,113,101,13,8,5,6,180
2019-03-06,139,105,20,12,7,6,194
2019-03-07,146,101,14,10,6,4,197
2019-03-08,142,84,12,8,2,4,195
2019-03-09,110,81,13,7,3,4,179
2019-03-10,111,69,12,5,3,2,179
2019-03-11,87,75,12,4,3,3,167
2019-03-12,89,72,12,3,3,2,168
2019-03-13,91,75,12,5,3,2,169
2019-03-14,94,82,13,7,6,3,170
2019-03-15,108,78,15,4,4,3,178
2019-03-16,89,69,15,4,3,3,168
2019-03-17,93,74,19,6,4,4,170
2019-03-18,95,57,13,4,2,3,171
2019-03-19,73,67,12,7,3,3,160
2019-03-20,99,65,12,3,5,4,173
2019-03-21,99,65,17,4,6,3,173
2019-03-22,88,79,21,6,3,3,167
2019-03-23,99,85,22,7,5,4,173
2019-03-24,120,85,30,7,5,4,184
2019-03-25,120,82,23,6,6,4,184
2019-03-26,116,81,23,5,6,4,182
2019-03-27,114,95,24,7,6,5,181
2019-03-28,129,102,29,9,7,4,188
2019-03-29,140,95,27,7,5,6,194
2019-03-30,145,87,21,5,1,4,197
2019-03-31,119,74,17,7,3,4,183
2019-04-01,91,85,31,7,6,4,169
2019-04-02,108,84,34,7,4,3,178
2019-04-03,113,78,29,7,5,3,180
2019-04-04,100,61,32,3,5,2,173
2019-04-05,83,60,36,4,6,3,165
2019-04-06,82,62,32,3,6,2,164
2019-04-07,82,63,27,5,6,3,164
2019-04-08,80,72,32,9,11,4,163
2019-04-09,92,72,32,7,11,3,169
2019-04-10,92,54,28,4,10,2,169
2019-04-11,77,73,34,6,12,3,162
2019-04-12,88,56,35,9,10,4,167
2019-04-13,76,77,37,12,10,5,161
2019-04-14,107,70,30,6,8,3,177
2019-04-15,92,73,41,5,3,3,169
2019-04-16,91,62,29,4,3,3,169
2019-04-17,80,74,30,6,3,3,163
2019-04-18,97,54,33,6,1,2,172
2019-04-19,76,50,29,6,1,3,161
2019-04-20,67,46,30,5,1,3,156
2019-04-21,68,49,35,5,1,3,157
2019-04-22,73,67,43,14,2,5,160
2019-04-23,91,64,41,7,1,3,169
2019-04-24,77,74,40,7,1,4,162
2019-04-25,92,80,38,7,2,4,169
2019-04-26,110,86,36,7,2,3,179
2019-04-27,120,79,32,5,2,3,184
2019-04-28,104,73,38,5,2,4,176
2019-04-29,102,72,31,5,1,3,175
2019-04-30,104,76,29,4,2,3,176
2019-05-01,101,90,23,5,3,3,174
2019-05-02,95,90,29,4,3,2,171
2019-05-03,88,77,26,3,3,2,167
2019-05-04,78,82,23,8,2,3,162
2019-05-05,89,88,24,13,4,5,168
2019-05-06,102,99,31,20,6,8,175
2019-05-07,123,96,27,16,5,6,185
2019-05-08,113,87,25,13,5,5,180
2019-05-09,101,92,28,17,7,5,174
2019-05-10,110,90,30,9,4,5,179
2019-05-11,110,60,32,8,2,3,179
2019-05-12,94,74,31,10,2,3,170
2019-05-13,102,73,29,6,2,2,175
2019-05-14,93,77,31,8,2,4,170
2019-05-15,102,73,23,10,2,4,175
2019-05-16,88,81,26,8,2,3,167
2019-05-17,102,94,26,10,5,4,175
2019-05-18,117,104,31,16,6,5,182
2019-05-19,129,85,37,6,3,3,188
2019-05-20,117,79,34,5,3,3,182
2019-05-21,107,66,35,5,3,2,177
2019-05-22,88,74,34,6,3,3,167
2019-05-23,107,65,33,8,3,5,177
2019-05-24,91,84,31,11,3,4,169
2019-05-25,107,94,26,16,3,6,177
2019-05-26,116,78,25,7,3,3,182
2019-05-27,89,83,26,7,2,4,168
2019-05-28,93,103,38,13,2,7,170
2019-05-29,128,81,37,4,2,3,188
2019-05-30,101,73,32,4,2,3,174
2019-05-31,86,65,24,4,2,3,166
2019-06-01,83,84,29,6,3,3,165
2019-06-02,99,49,23,2,3,2,173
2019-06-03,66,44,35,4,3,2,156
2019-06-04,59,66,34,6,3,3,152
2019-06-05,81,76,31,5,4,3,164
2019-06-06,88,53,34,5,4,2,167
2019-06-07,73,44,27,5,3,3,160
2019-06-08,67,56,35,5,4,2,156
2019-06-09,79,41,28,4,4,2,163
2019-06-10,54,25,22,2,4,2,146
2019-06-11,27,15,18,1,3,2,82
2019-06-12,17,20,14,1,3,2,61
2019-06-13,23,27,15,1,3,2,73
2019-06-14,44,49,14,1,3,1,121
2019-06-15,56,45,12,1,3,1,151
2019-06-16,56,45,12,1,4,1,151
2019-06-17,62,43,13,1,3,1,154
2019-06-18,57,47,15,1,3,1,151
2019-06-19,55,42,16,1,3,1,149
2019-06-20,47,46,21,3,3,2,129
2019-06-21,67,31,22,3,3,2,156
2019-06-22,65,32,20,5,3,2,155
2019-06-23,63,34,21,6,3,1,154
2019-06-24,61,36,24,6,3,3,153
2019-06-25,65,26,17,3,3,1,155
2019-06-26,51,15,13,1,3,2,139
2019-06-27,25,17,12,1,3,2,78
2019-06-28,23,16,13,2,3,2,73
2019-06-29,34,26,15,2,3,2,97
2019-06-30,53,25,11,1,3,3,144
2019-07-01,59,25,11,1,3,2,152
2019-07-02,56,37,11,2,3,1,151
2019-07-03,68,27,11,1,3,2,157
2019-07-04,58,26,10,1,2,2,152
2019-07-05,58,32,11,1,3,2,152
2019-07-06,59,32,12,1,2,2,152
2019-07-07,60,31,12,1,2,2,153
2019-07-08,60,26,12,1,3,2,153
2019-07-09,54,20,11,1,3,2,146
2019-07-10,50,28,10,2,3,2,136
2019-07-11,59,27,10,2,3,2,152
2019-07-12,53,25,10,2,3,2,144
2019-07-13,52,34,9,3,3,1,141
2019-07-14,60,30,10,1,3,2,153
2019-07-15,58,47,10,2,3,2,152
2019-07-16,66,38,11,2,3,2,156
2019-07-17,67,59,14,3,3,2,156
2019-07-18,81,49,19,5,3,3,164
2019-07-19,83,18,16,2,3,2,165
2019-07-20,46,18,13,1,2,1,126
2019-07-21,41,24,11,4,3,1,114
2019-07-22,35,10,11,1,2,2,99
