date,pm25,pm10,o3,no2,so2,co,AQI
2016-10-11,125,77,16,19,9,11,186
2016-10-12,125,73,17,28,7,11,186
2016-10-13,131,68,20,30,11,10,189
2016-10-14,108,72,23,27,8,12,178
2016-10-15,122,74,23,33,10,13,185
2016-10-16,138,70,18,40,11,8,193
2016-10-17,132,70,17,42,13,10,190
2016-10-18,140,73,22,34,14,16,194
2016-10-19,142,75,25,35,17,14,195
2016-10-20,145,73,27,31,17,10,197
2016-10-21,143,76,20,35,13,7,196
2016-10-22,139,76,23,39,19,9,194
2016-10-23,139,77,16,31,14,5,194
2016-10-24,130,74,15,30,8,6,189
2016-10-25,153,75,24,28,16,5,203
2016-10-26,149,73,40,23,21,5,199
2016-10-27,151,72,43,18,22,6,201
2016-10-28,151,75,33,22,22,8,201
2016-10-29,159,72,30,11,10,5,209
2016-10-30,151,63,32,12,11,7,201
2016-10-31,136,76,35,15,22,6,192
2016-11-01,158,73,41,11,23,6,208
2016-11-02,155,71,35,10,15,5,205
2016-11-03,153,73,32,9,15,6,203
2016-11-04,150,73,35,13,14,4,199
2016-11-05,154,74,40,11,15,6,204
2016-11-06,155,79,39,10,19,6,205
2016-11-07,156,76,38,16,19,7,206
2016-11-08,148,74,49,19,18,7,198
2016-11-09,148,76,55,24,23,7,198
2016-11-10,158,71,45,24,23,9,208
2016-11-11,154,75,62,23,17,10,204
2016-11-12,154,72,68,21,13,11,204
2016-11-13,153,72,38,19,8,12,203
2016-11-14,153,73,33,16,12,9,203
2016-11-15,156,73,48,16,24,10,206
2016-11-16,154,74,35,17,22,8,204
2016-11-17,153,70,43,18,18,7,203
2016-11-18,152,72,42,25,21,8,202
2016-11-19,153,71,43,27,15,9,203
2016-11-20,151,64,33,26,18,8,201
2016-11-21,140,65,32,29,14,11,194
2016-11-22,144,68,45,24,18,10,196
2016-11-23,143,71,54,27,16,11,196
2016-11-24,148,73,37,20,21,11,198
2016-11-25,150,68,30,4,20,10,199
2016-11-26,137,73,27,2,21,8,193
2016-11-27,143,75,33,1,21,9,196
2016-11-28,149,70,31,11,20,7,199
2016-11-29,137,70,32,31,19,10,193
2016-11-30,146,71,29,25,10,11,197
2016-12-01,138,72,28,25,21,9,193
2016-12-02,151,68,22,16,4,6,201
2016-12-03,135,70,22,18,9,6,192
2016-12-04,141,75,26,20,17,8,195
2016-12-05,154,73,34,19,20,9,204
2016-12-06,155,68,28,25,20,10,205
2016-12-07,149,74,32,29,19,11,199
2016-12-08,153,76,30,27,14,7,203
2016-12-09,153,74,26,27,17,10,203
2016-12-10,149,71,28,31,22,9,199
2016-12-11,153,74,22,27,24,12,203
2016-12-12,132,75,21,25,21,9,190
2016-12-13,147,53,17,12,3,8,198
2016-12-14,121,70,28,22,6,12,184
2016-12-15,149,71,27,21,15,10,199
2016-12-16,154,70,32,27,17,12,204
2016-12-17,144,69,21,28,19,8,196
2016-12-18,136,72,22,29,21,8,192
2016-12-19,142,70,40,31,26,9,195
2016-12-20,149,70,27,33,23,11,199
2016-12-21,145,70,24,30,22,9,197
2016-12-22,147,70,23,30,18,8,198
2016-12-23,146,74,28,31,17,9,197
2016-12-24,144,73,32,27,5,8,196
2016-12-25,144,73,24,25,8,11,196
2016-12-26,119,69,24,31,20,9,183
2016-12-27,139,73,65,33,20,10,194
2016-12-28,154,72,37,26,4,9,204
2016-12-29,153,75,60,22,8,9,203
2016-12-30,152,79,49,18,2,7,202
2016-12-31,149,73,32,17,2,6,199
2017-01-01,151,62,25,23,9,8,201
2017-01-02,127,85,34,26,13,8,187
2017-01-03,149,132,36,26,21,7,199
2017-01-04,188,106,22,26,16,7,238
2017-01-05,167,95,22,30,19,6,217
2017-01-06,150,76,29,17,7,6,199
2017-01-07,143,73,26,15,5,7,196
2017-01-08,150,63,29,13,5,4,199
2017-01-09,133,78,29,16,2,6,191
2017-01-10,149,105,30,22,17,7,199
2017-01-11,157,132,25,25,29,8,207
2017-01-12,185,112,21,22,12,8,235
2017-01-13,182,80,24,17,8,5,232
2017-01-14,157,82,21,17,5,6,207
2017-01-15,163,92,20,23,14,7,213
2017-01-16,160,82,18,22,6,7,210
2017-01-17,149,61,35,15,5,5,199
2017-01-18,135,76,35,17,5,5,192
2017-01-19,156,89,28,21,7,6,206
2017-01-20,156,93,35,29,7,7,206
2017-01-21,146,78,29,22,6,6,197
2017-01-22,140,101,34,23,9,7,194
2017-01-23,160,96,30,22,9,6,210
2017-01-24,154,95,32,21,8,7,204
2017-01-25,161,78,36,14,5,5,211
2017-01-26,153,72,25,18,7,5,203
2017-01-27,140,88,30,19,14,7,194
2017-01-28,153,99,21,24,19,6,203
2017-01-29,153,90,30,26,16,10,203
2017-01-30,153,81,25,21,9,7,203
2017-01-31,137,67,52,16,6,5,193
2017-02-01,121,70,36,16,5,4,184
2017-02-02,138,74,37,18,6,5,193
2017-02-03,139,96,52,23,10,6,194
2017-02-04,146,82,47,21,9,6,197
2017-02-05,137,89,58,23,13,5,193
2017-02-06,146,119,21,27,16,9,197
2017-02-07,171,102,34,22,7,9,221
2017-02-08,160,92,26,21,7,9,210
2017-02-09,153,78,41,16,5,9,203
2017-02-10,153,78,28,12,5,9,203
2017-02-11,113,78,22,14,1,9,180
2017-02-12,114,71,39,9,23,18,181
2017-02-13,113,77,43,15,13,6,180
2017-02-14,145,88,19,19,8,6,197
2017-02-15,147,105,17,22,15,7,198
2017-02-16,157,119,17,23,16,6,207
2017-02-17,145,119,16,25,19,7,197
2017-02-18,142,99,14,24,8,6,195
2017-02-19,164,77,9,19,9,8,214
2017-02-20,77,84,15,22,14,6,162
2017-02-21,125,102,14,26,13,7,186
2017-02-22,145,106,47,26,17,7,197
2017-02-23,134,108,18,26,20,7,191
2017-02-24,146,121,29,28,24,7,197
2017-02-25,161,99,29,26,21,6,211
2017-02-26,134,81,177,20,14,7,275
2017-02-27,129,113,109,25,23,7,204
2017-02-28,150,104,8,23,13,6,199
2017-03-01,150,87,8,16,7,5,199
2017-03-02,143,66,19,14,5,4,196
2017-03-03,91,64,54,17,8,4,169
2017-03-04,99,60,31,12,5,4,173
2017-03-05,94,76,26,16,7,5,170
2017-03-06,114,63,27,9,3,4,181
2017-03-07,100,86,20,18,8,4,173
2017-03-08,117,128,22,31,13,7,182
2017-03-09,160,74,19,17,6,4,210
2017-03-10,101,80,18,22,6,3,174
2017-03-11,87,94,30,27,13,5,167
2017-03-12,111,121,17,30,23,6,179
2017-03-13,145,96,13,25,12,5,197
2017-03-14,133,46,13,10,5,3,191
2017-03-15,66,39,15,13,4,3,156
2017-03-16,79,87,13,23,10,6,163
2017-03-17,135,121,11,29,14,6,192
2017-03-18,146,133,11,31,17,7,197
2017-03-19,137,136,3,25,19,6,193
2017-03-20,127,121,31,27,15,7,187
2017-03-21,134,108,27,28,13,6,191
2017-03-22,145,89,34,22,7,6,197
2017-03-23,143,86,29,21,7,5,196
2017-03-24,137,93,29,23,3,5,193
2017-03-25,146,97,24,22,6,5,197
2017-03-26,151,89,24,21,6,5,201
2017-03-27,143,86,25,21,5,5,196
2017-03-28,136,81,23,18,5,5,192
2017-03-29,132,84,20,18,5,5,190
2017-03-30,121,83,21,19,5,4,184
2017-03-31,124,83,19,17,5,5,186
2017-04-01,124,97,17,22,6,5,186
2017-04-02,132,89,16,19,4,5,190
2017-04-03,137,77,33,13,2,5,193
2017-04-04,122,72,16,13,4,4,185
2017-04-05,120,79,17,16,7,5,184
2017-04-06,119,89,12,18,4,5,183
2017-04-07,134,101,20,16,4,6,191
2017-04-08,143,119,9,21,8,7,196
2017-04-09,156,112,10,19,10,5,206
2017-04-10,155,159,13,26,16,6,205
2017-04-11,154,258,5,39,28,12,204
2017-04-12,218,109,14,21,13,5,267
2017-04-13,143,105,12,19,10,5,196
2017-04-14,148,97,14,15,8,5,198
2017-04-15,142,109,12,16,8,6,195
2017-04-16,136,134,13,20,11,6,192
2017-04-17,150,126,29,22,14,6,199
2017-04-18,150,111,21,23,8,6,199
2017-04-19,145,102,25,20,10,5,197
2017-04-20,128,96,19,23,10,4,188
2017-04-21,119,97,26,22,13,5,183
2017-04-22,128,110,21,26,14,5,188
2017-04-23,137,115,16,22,13,5,193
2017-04-24,133,103,15,23,17,5,191
2017-04-25,128,109,13,24,18,5,188
2017-04-26,142,122,19,27,12,6,195
2017-04-27,140,75,23,17,5,4,194
2017-04-28,112,73,21,17,10,4,180
2017-04-29,84,62,20,16,9,4,165
2017-04-30,80,51,9,16,8,3,163
2017-05-01,76,55,24,11,4,4,161
2017-05-02,84,63,18,13,4,4,165
2017-05-03,107,77,21,16,6,4,177
2017-05-04,119,83,26,15,5,4,183
