date,pm25,pm10,o3,no2,so2,co,AQI
2015-12-29,139,75,10,2,4,13,194
2015-12-30,139,70,10,2,6,25,194
2015-12-31,151,70,10,2,6,25,201
2016-01-02,151,78,31,2,4,8,201
2016-01-03,133,78,25,2,7,12,191
2016-01-04,156,79,27,1,6,10,206
2016-01-05,158,75,33,1,4,11,208
2016-01-06,156,74,36,1,6,8,206
2016-01-07,152,73,56,1,6,9,202
2016-01-08,150,76,86,1,6,9,199
2016-01-09,148,74,86,1,7,9,198
2016-01-10,153,75,86,1,6,10,203
2016-01-11,153,74,86,1,6,12,203
2016-01-12,153,73,86,1,8,8,203
2016-01-13,149,72,86,1,6,7,199
2016-01-14,149,75,86,1,6,5,199
2016-01-15,151,70,67,1,5,8,201
2016-01-16,154,72,86,1,6,11,204
2016-01-17,147,62,86,1,6,6,198
2016-01-18,114,63,86,1,5,5,181
2016-01-19,137,74,86,1,7,9,193
2016-01-20,159,79,27,1,7,6,209
2016-01-21,157,74,30,1,12,8,207
2016-01-22,144,71,30,1,6,8,196
2016-01-23,153,75,53,1,6,7,203
2016-01-24,162,74,29,1,5,7,212
2016-01-25,158,72,86,1,5,8,208
2016-01-26,158,71,86,1,5,6,208
2016-01-27,150,74,86,1,6,11,199
2016-01-28,154,73,22,1,7,15,204
2016-01-29,152,70,57,1,6,17,202
2016-01-30,153,73,57,1,5,12,203
2016-01-31,162,75,57,1,5,12,212
2016-02-01,154,71,57,1,5,8,204
2016-02-02,138,73,57,1,7,16,193
2016-02-03,148,70,57,1,7,10,198
2016-02-04,155,76,27,1,10,8,205
2016-02-05,157,74,25,1,3,8,207
2016-02-06,149,72,28,1,5,8,199
2016-02-07,153,76,21,1,3,7,203
2016-02-08,158,77,25,1,4,9,208
2016-02-09,158,72,33,1,3,7,208
2016-02-10,149,77,35,1,2,8,199
2016-02-11,153,70,31,1,2,7,203
2016-02-12,145,74,33,1,3,7,197
2016-02-13,150,72,22,1,4,8,199
2016-02-14,150,72,16,1,3,4,199
2016-02-15,108,59,16,1,4,8,178
2016-02-16,107,79,26,1,1,8,177
2016-02-17,124,77,15,1,3,9,186
2016-02-18,120,71,17,1,3,9,184
2016-02-19,109,79,23,1,4,11,178
2016-02-20,140,70,33,1,5,15,194
2016-02-21,143,70,28,1,6,10,196
2016-02-22,148,77,29,1,4,6,198
2016-02-23,154,70,29,1,4,6,204
2016-02-24,132,73,31,1,2,7,190
2016-02-25,137,71,18,1,3,7,193
2016-02-26,132,60,15,1,3,7,190
2016-02-27,79,69,16,1,3,5,163
2016-02-28,96,67,16,1,3,8,171
