date,pm25,pm10,o3,no2,so2,co,AQI
2020-03-27,101,51,32,3,1,9,174
2020-03-28,101,43,23,2,1,7,174
2020-03-29,80,53,12,3,1,9,163
2020-03-30,86,53,12,3,1,9,166
2020-04-02,86,52,31,3,1,3,166
2020-04-03,100,51,31,3,1,2,173
2020-04-04,97,45,26,3,1,2,172
2020-04-05,87,31,26,4,1,2,167
2020-04-06,64,37,26,4,1,2,155
2020-04-07,77,40,36,4,1,2,162
2020-04-08,80,45,27,4,1,3,163
2020-04-09,82,42,27,3,1,2,164
2020-04-10,76,46,27,4,1,2,161
2020-04-11,84,45,31,3,1,2,165
2020-04-12,92,49,30,4,1,2,169
2020-04-13,95,46,30,3,1,2,171
2020-04-14,90,37,24,3,1,2,168
2020-04-15,76,28,30,3,1,2,161
2020-04-16,62,31,29,3,1,2,154
2020-04-17,62,24,21,3,1,1,154
2020-04-18,55,21,20,3,1,1,149
2020-04-19,46,30,23,4,1,1,126
2020-04-20,62,35,26,4,1,2,154
2020-04-21,72,34,26,4,1,2,159
2020-04-22,68,38,21,4,1,1,157
2020-04-23,74,37,21,4,1,1,160
2020-04-24,72,42,22,4,1,2,159
2020-04-25,76,52,21,4,1,1,161
2020-04-26,95,39,34,5,1,2,171
2020-04-27,66,46,25,5,1,1,156
2020-04-28,90,39,25,5,1,2,168
2020-04-29,74,49,22,5,1,1,160
2020-04-30,86,44,21,4,1,1,166
2020-05-01,75,47,21,4,1,2,161
2020-05-02,82,43,22,3,1,2,164
2020-05-03,75,49,20,5,1,1,161
2020-05-04,91,50,23,5,1,1,169
2020-05-05,99,43,26,6,1,3,173
2020-05-06,78,42,19,4,1,1,162
2020-05-07,80,33,16,4,1,1,163
2020-05-08,62,39,19,5,1,2,154
2020-05-09,71,36,20,3,1,1,159
2020-05-10,69,32,15,5,1,2,157
2020-05-11,58,44,19,5,1,3,152
2020-05-12,78,30,16,5,1,3,162
2020-05-13,59,38,20,5,1,2,152
2020-05-14,71,42,21,5,1,3,159
2020-05-15,71,34,22,5,1,3,159
2020-05-16,61,39,27,3,2,1,153
2020-05-17,73,34,25,5,1,3,160
2020-05-18,68,51,17,4,1,2,157
2020-05-19,87,48,13,5,1,2,167
2020-05-20,81,27,16,5,1,2,164
2020-05-21,53,30,15,5,1,3,144
2020-05-22,55,37,12,5,1,2,149
2020-05-23,65,38,12,3,1,2,155
2020-05-24,71,44,8,5,1,2,159
2020-05-25,77,38,11,6,1,4,162
2020-05-26,74,33,9,5,1,2,160
2020-05-27,64,36,11,5,1,2,155
2020-05-28,70,21,9,2,1,1,158
2020-05-29,47,20,9,2,1,1,129
2020-05-30,44,11,10,1,1,1,121
2020-05-31,24,11,7,2,1,1,76
2020-06-01,24,11,2,2,1,1,76
2020-06-02,24,13,5,1,1,1,76
2020-06-03,26,18,3,2,1,1,80
2020-06-04,38,22,4,3,1,1,107
2020-06-05,46,11,6,2,1,1,126
2020-06-06,20,11,6,2,1,1,67
2020-06-08,20,45,8,5,1,1,67
2020-06-09,87,41,8,5,1,3,167
2020-06-10,75,42,7,6,1,4,161
2020-06-11,78,45,8,6,1,2,162
2020-06-12,87,43,7,5,1,1,167
2020-06-13,83,29,9,3,1,1,165
2020-06-14,64,39,8,4,1,2,155
2020-06-15,75,43,4,5,1,2,161
2020-06-16,87,50,7,6,1,2,167
2020-06-17,96,46,9,6,1,3,171
2020-06-18,82,38,10,5,1,1,164
2020-06-19,69,40,10,5,1,4,157
2020-06-20,69,29,11,4,1,1,157
2020-06-21,58,35,11,5,1,3,152
2020-06-22,60,48,10,6,1,5,153
2020-06-23,93,55,14,5,1,1,170
2020-06-24,99,46,13,6,1,2,173
2020-06-25,85,33,11,3,1,2,166
2020-06-26,45,23,4,4,1,3,124
2020-06-27,47,23,4,4,1,3,129
2020-06-29,47,61,11,7,2,4,129
2020-06-30,92,61,11,7,2,4,169
2020-07-01,92,44,10,6,2,2,169
2020-07-02,74,37,10,6,1,4,160
2020-07-03,66,37,10,6,1,4,156
2020-07-05,66,34,8,4,2,1,156
2020-07-06,77,29,15,3,1,2,162
2020-07-07,56,34,11,3,2,1,151
2020-07-08,65,35,16,3,1,2,155
2020-07-09,65,25,15,3,1,2,155
2020-07-10,47,25,15,3,1,2,129
2020-07-21,47,24,15,3,1,2,129
2020-07-22,54,24,12,4,2,1,146
2020-07-23,49,27,8,4,1,1,134
2020-07-24,46,40,10,5,2,2,126
2020-07-25,65,28,12,4,2,2,155
2020-07-26,54,28,12,4,2,2,146
2020-08-05,54,50,6,5,2,4,146
2020-08-06,76,34,6,6,2,3,161
2020-08-07,57,29,10,5,2,3,151
2020-08-08,54,22,9,4,1,2,146
2020-08-09,44,35,10,5,1,3,121
2020-08-10,62,37,12,5,1,3,154
2020-08-11,61,39,11,4,1,2,153
2020-08-12,60,41,11,4,1,3,153
2020-08-13,63,43,11,5,1,3,154
2020-08-14,65,44,12,5,1,3,155
2020-08-15,74,49,13,4,1,1,160
2020-08-16,90,43,9,5,1,3,168
2020-08-17,74,47,10,5,1,1,160
2020-08-18,74,46,14,4,1,2,160
2020-08-19,76,48,10,5,1,3,161
2020-08-20,74,50,10,5,1,1,160
2020-08-21,81,44,11,5,1,1,164
2020-08-22,72,43,9,4,1,2,159
2020-08-23,77,50,10,5,1,2,162
2020-08-24,82,52,12,5,1,2,164
2020-08-25,85,52,10,5,1,1,166
2020-08-26,78,53,10,5,1,2,162
2020-08-27,73,45,12,5,2,2,160
2020-08-28,64,46,9,5,1,2,155
2020-08-29,65,44,10,4,1,1,155
2020-08-30,68,41,10,3,1,1,157
2020-08-31,73,35,13,4,1,2,160
2020-09-01,50,33,7,4,1,3,136
2020-09-02,51,26,9,4,1,2,139
2020-09-03,42,28,6,3,1,1,117
2020-09-04,47,24,6,3,1,2,129
2020-09-05,42,22,10,4,1,2,117
2020-09-06,39,32,8,5,1,4,109
2020-09-07,48,38,7,4,1,3,131
2020-09-08,56,25,6,5,1,3,151
2020-09-09,43,38,8,5,1,2,119
2020-09-10,58,42,3,5,1,2,152
2020-09-11,66,36,5,4,1,4,156
2020-09-12,57,33,6,4,2,2,151
2020-09-13,53,41,6,5,1,4,144
