date,pm25,pm10,o3,no2,so2,co,AQI
2017-11-12,145,65,3,7,2,13,197
2017-11-13,145,61,3,5,2,10,197
2017-11-14,135,62,3,5,1,10,192
2017-11-15,144,54,3,6,2,10,196
2017-11-16,118,65,3,5,2,10,183
2017-11-17,148,64,3,4,1,11,198
2017-11-18,144,52,3,3,1,9,196
2017-11-19,112,45,3,3,1,10,180
2017-11-20,85,26,3,4,2,9,166
2017-11-21,55,35,3,4,1,10,149
2017-11-22,78,50,3,5,2,11,162
2017-11-23,111,65,3,5,2,10,179
2017-11-24,142,84,3,7,2,14,195
2017-11-25,170,78,3,4,1,11,220
2017-11-26,164,43,3,6,2,11,214
2017-11-27,106,39,3,5,1,12,177
2017-11-28,87,43,3,4,1,11,167
2017-11-29,94,10,3,1,1,8,170
2017-11-30,17,14,3,2,1,8,61
2017-12-01,39,24,3,3,1,9,109
2017-12-02,34,31,3,3,1,10,97
2017-12-03,34,50,3,3,2,11,97
2017-12-06,34,56,3,5,2,13,97
2017-12-07,122,53,3,2,2,11,185
2017-12-08,122,41,3,1,1,10,185
2017-12-09,94,58,3,2,1,11,170
2017-12-10,137,73,3,2,1,11,193
2017-12-11,155,67,3,2,1,12,205
2017-12-12,152,49,2,2,1,11,202
2017-12-13,114,52,2,3,1,12,181
2017-12-14,114,68,2,3,2,14,181
2017-12-15,153,52,5,2,1,10,203
2017-12-16,115,56,2,3,1,10,181
2017-12-17,126,56,15,2,1,10,187
2017-12-18,123,59,26,2,1,11,185
2017-12-19,128,41,11,2,1,9,188
2017-12-20,89,51,26,2,2,11,168
2017-12-21,115,38,30,2,1,10,181
2017-12-22,84,53,30,1,1,11,165
2017-12-23,116,45,33,1,2,8,182
2017-12-24,98,55,34,1,1,9,172
2017-12-25,129,64,35,3,1,11,188
2017-12-26,146,67,34,4,1,12,197
2017-12-27,152,75,32,4,1,12,202
2017-12-28,161,67,35,5,1,10,211
2017-12-29,144,75,40,4,1,12,196
2017-12-30,154,97,32,6,2,16,204
2017-12-31,179,64,38,4,1,11,229
2018-01-01,149,69,40,3,1,11,199
2018-01-02,153,64,33,4,2,12,203
2018-01-03,147,70,31,7,2,12,198
2018-01-04,153,85,27,7,4,12,203
2018-01-05,164,84,29,7,4,11,214
2018-01-06,166,77,29,4,3,11,216
2018-01-07,163,72,28,7,3,15,213
2018-01-08,158,83,27,8,2,14,208
2018-01-09,166,81,29,7,3,14,216
2018-01-10,167,60,24,7,2,14,217
2018-01-11,134,61,79,7,2,14,191
2018-01-12,141,57,51,6,2,14,195
2018-01-13,129,49,80,4,2,11,188
2018-01-14,115,61,38,6,3,14,181
2018-01-15,132,72,27,8,2,13,190
2018-01-16,157,81,38,7,3,14,207
2018-01-17,166,76,37,6,2,14,216
2018-01-18,160,75,34,7,3,12,210
2018-01-19,158,82,43,9,4,13,208
2018-01-20,165,87,44,6,3,13,215
2018-01-21,173,83,42,8,2,16,223
2018-01-22,167,85,38,7,3,15,217
2018-01-23,168,81,53,6,2,11,218
2018-01-24,165,67,25,5,2,8,215
2018-01-25,146,68,52,6,3,8,197
2018-01-26,146,75,30,5,4,8,197
2018-01-27,153,60,22,6,3,8,203
2018-01-28,134,75,37,7,2,10,191
2018-01-29,159,73,30,5,2,8,209
2018-01-30,153,80,37,6,3,10,203
2018-01-31,155,82,31,4,2,10,205
2018-02-01,163,76,41,13,2,9,213
2018-02-02,157,72,46,7,3,8,207
2018-02-03,143,73,44,5,3,7,196
2018-02-04,148,71,35,5,3,8,198
2018-02-05,146,69,30,5,3,8,197
2018-02-06,136,60,28,5,1,8,192
2018-02-07,118,45,22,6,2,8,183
2018-02-08,98,54,31,8,3,8,172
2018-02-09,119,57,26,5,1,8,183
2018-02-10,124,59,96,10,2,7,186
2018-02-11,120,59,23,8,14,8,184
2018-02-12,120,67,30,9,3,8,184
2018-02-13,143,72,31,8,3,8,196
2018-02-14,152,68,30,10,2,9,202
2018-02-15,118,60,32,9,2,9,183
2018-02-16,126,66,35,8,3,10,187
2018-02-17,138,66,44,6,3,8,193
2018-02-18,142,70,45,8,3,8,195
2018-02-19,151,71,33,9,3,9,201
2018-02-20,145,76,35,10,3,9,197
2018-02-21,145,68,39,8,4,7,197
2018-02-22,128,70,34,9,3,8,188
2018-02-23,118,70,33,9,4,9,183
2018-02-24,134,70,33,9,4,9,191
2018-02-25,134,53,27,8,4,9,191
2018-02-26,80,60,29,7,4,8,163
2018-02-27,111,56,29,8,4,8,179
2018-02-28,98,58,24,7,3,9,172
2018-03-01,87,59,26,6,3,9,167
2018-03-02,112,61,35,6,5,8,180
2018-03-03,118,70,41,6,4,8,183
2018-03-04,150,72,34,6,4,9,199
2018-03-05,131,72,30,6,3,9,189
2018-03-06,144,70,30,7,3,9,196
2018-03-07,145,71,27,7,2,10,197
2018-03-08,143,69,28,5,4,9,196
2018-03-09,150,67,35,6,4,8,199
2018-03-10,139,67,35,6,4,8,194
2018-03-11,139,60,21,8,3,11,194
2018-03-12,105,41,21,7,1,11,176
2018-03-13,89,36,21,5,2,8,168
2018-03-14,71,28,22,4,2,6,159
2018-03-15,52,32,22,3,1,9,141
2018-03-16,65,37,21,5,2,8,155
2018-03-17,72,43,20,6,2,8,159
2018-03-18,91,39,19,6,2,10,169
2018-03-19,77,56,24,7,2,10,162
2018-03-20,118,57,26,6,2,10,183
2018-03-21,119,50,20,4,2,9,183
2018-03-22,92,61,24,4,2,10,169
2018-03-23,96,65,26,5,2,8,171
2018-03-24,96,66,27,6,2,10,171
2018-03-25,120,63,34,7,2,10,184
2018-03-26,130,60,29,6,2,13,189
2018-03-27,122,39,24,6,5,17,185
2018-03-28,79,53,39,6,2,12,163
2018-03-29,104,62,27,3,2,24,176
2018-03-30,118,61,26,4,2,28,183
2018-03-31,113,56,23,4,4,7,180
2018-04-01,89,55,26,4,3,7,168
2018-04-02,92,58,57,5,2,7,169
2018-04-03,101,53,25,6,3,8,174
2018-04-04,96,63,27,4,4,8,171
2018-04-05,125,60,31,5,5,8,186
2018-04-06,105,61,38,5,3,8,176
2018-04-07,126,44,46,3,3,7,187
2018-04-08,87,38,176,4,2,7,274
2018-04-09,70,34,23,4,3,8,158
2018-04-10,59,37,74,4,4,8,152
2018-04-11,69,32,64,4,6,8,157
2018-04-12,68,30,19,7,5,10,157
2018-04-13,63,25,20,5,6,7,154
2018-04-14,42,31,19,5,2,7,117
2018-04-15,67,33,21,6,5,8,156
2018-04-16,67,36,18,6,2,8,156
2018-04-17,73,50,19,9,2,10,160
2018-04-18,95,41,20,6,2,8,171
2018-04-19,73,33,16,6,2,8,160
2018-04-20,55,47,24,5,3,7,149
2018-04-21,80,49,21,4,3,7,163
2018-04-22,86,51,26,5,3,7,166
2018-04-23,82,51,20,4,2,7,164
2018-04-24,70,45,25,5,1,6,158
2018-04-25,76,56,23,5,2,7,161
2018-04-26,86,58,24,5,2,8,166
2018-04-27,101,56,22,5,2,9,174
2018-04-28,102,60,25,4,3,8,175
2018-04-29,122,51,21,5,2,7,185
2018-04-30,87,47,22,3,2,6,167
2018-05-01,75,49,22,3,2,7,161
2018-05-02,112,46,29,5,2,7,180
2018-05-03,73,48,30,4,2,7,160
2018-05-04,85,41,36,3,2,7,166
2018-05-05,79,28,21,3,2,7,163
2018-05-06,60,27,19,4,2,7,153
2018-05-07,59,25,16,4,2,7,152
2018-05-08,52,40,19,6,2,9,141
2018-05-09,77,29,15,5,2,7,162
2018-05-10,48,26,15,4,3,8,131
2018-05-11,45,20,14,4,2,7,124
2018-05-12,38,21,20,3,3,6,107
2018-05-13,38,22,20,5,2,6,107
2018-05-14,40,40,24,5,3,8,112
2018-05-15,81,44,23,4,2,8,164
2018-05-16,86,30,21,4,1,8,166
2018-05-17,70,21,15,3,2,7,158
2018-05-18,31,28,15,3,2,7,90
2018-05-19,48,23,16,1,1,7,131
2018-05-20,40,32,19,2,2,8,112
2018-05-21,57,39,24,4,3,7,151
2018-05-22,64,40,22,5,3,7,155
2018-05-23,71,53,17,5,2,8,159
2018-05-24,80,18,24,8,1,5,163
2018-05-25,48,38,27,6,2,8,131
2018-05-26,72,24,27,3,1,6,159
2018-05-27,42,35,25,3,2,8,117
2018-05-28,49,37,20,3,2,7,134
2018-05-29,51,29,18,5,2,7,139
2018-05-30,52,38,15,6,2,8,141
2018-05-31,63,33,14,6,2,8,154
2018-06-01,62,25,13,6,2,7,154
2018-06-02,54,21,13,5,1,5,146
2018-06-03,46,27,14,7,2,7,126
2018-06-04,54,33,10,10,2,9,146
2018-06-05,58,31,12,6,2,7,152
